platform,fiscal_quarter,announcement_date,sec_cik,sec_accession,source_url,retrieved_at_utc,saved_file,bytes,sha256,archive_status,error
Sea,2022Q3,2022-11-15,0001703399,0001104659-22-119122,https://www.sec.gov/Archives/edgar/data/1703399/000110465922119122/tm2230567d1_ex99-1.htm,2026-09-08T10:02:17.192731+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2022Q3_sec_primary_exhibit.html,307880,2d0a808d49a50d41036cd841f9c365da11ca6fa5bceba8bedfa6d51f36370826,retrieved,
Sea,2022Q4,2023-03-07,0001703399,0001104659-23-029545,https://www.sec.gov/Archives/edgar/data/1703399/000110465923029545/tm238717d1_ex99-1.htm,2026-09-08T10:02:17.639994+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2022Q4_sec_primary_exhibit.html,473458,d525c3f5d0d240c81aa7b9ebdc6f7cc0f5a7e5bb9e9a5c88219d59d627ad92ad,retrieved,
Sea,2023Q4,2024-03-04,0001703399,0001104659-24-030484,https://www.sec.gov/Archives/edgar/data/1703399/000110465924030484/tm247857d1_ex99-1.htm,2026-09-08T10:02:17.931838+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2023Q4_sec_primary_exhibit.html,468194,c417617ecc987cb2dd35381d54a25560d72321718203e31bc4a337b477ad4b70,retrieved,
Sea,2024Q1,2024-05-14,0001703399,0001193125-24-138204,https://www.sec.gov/Archives/edgar/data/1703399/000119312524138204/d838689dex991.htm,2026-09-08T10:02:18.437917+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2024Q1_sec_primary_exhibit.html,328300,5621a51c8a8a2d6ed40f441819c2081c363172eebe6c12d60edcc74f47c646d3,retrieved,
Sea,2024Q2,2024-08-13,0001703399,0001104659-24-088947,https://www.sec.gov/Archives/edgar/data/1703399/000110465924088947/tm2421549d1_ex99-1.htm,2026-09-08T10:02:18.734960+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2024Q2_sec_primary_exhibit.html,273474,e475d7aa563f647479c5b500a3c78dd20c0bba1005c07ceab958c53256b4843e,retrieved,
Sea,2024Q3,2024-11-12,0001703399,0001104659-24-116768,https://www.sec.gov/Archives/edgar/data/1703399/000110465924116768/tm2428140d1_ex99-1.htm,2026-09-08T10:02:19.193402+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2024Q3_sec_primary_exhibit.html,297666,f7be62b8a57968653e673c9485c53aee067b719c19049b0006a7cb3f6cbcfe59,retrieved,
Sea,2024Q4,2025-03-04,0001703399,0001193125-25-045576,https://www.sec.gov/Archives/edgar/data/1703399/000119312525045576/d930776dex991.htm,2026-09-08T10:02:19.633713+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2024Q4_sec_primary_exhibit.html,425083,dbe0094533a5f17427777cd2d5675ef7adbbd350eda26622797e3085faebc923,retrieved,
Sea,2025Q1,2025-05-13,0001703399,0001193125-25-118807,https://www.sec.gov/Archives/edgar/data/1703399/000119312525118807/d80392dex991.htm,2026-09-08T10:02:19.907340+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2025Q1_sec_primary_exhibit.html,288202,05f74a2e209989505de48ca22f0b85a4faf495a975bda54e25a31b1206c92bc0,retrieved,
Sea,2025Q2,2025-08-12,0001703399,0001193125-25-178935,https://www.sec.gov/Archives/edgar/data/1703399/000119312525178935/d411448dex991.htm,2026-09-08T10:02:20.175352+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2025Q2_sec_primary_exhibit.html,290385,fadffdcd98680fb19f9e7d74d61897bfab503377eacd0599dd01026fd3584b60,retrieved,
Sea,2025Q3,2025-11-11,0001703399,0001193125-25-275616,https://www.sec.gov/Archives/edgar/data/1703399/000119312525275616/d75589dex991.htm,2026-09-08T10:02:21.044016+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2025Q3_sec_primary_exhibit.html,290133,c70f29aa81954a50a077f8a1190a2a0fc9926cc5c1978f03f3f462bb0c336615,retrieved,
Sea,2025Q4,2026-03-03,0001703399,0001193125-26-088151,https://www.sec.gov/Archives/edgar/data/1703399/000119312526088151/d106475dex991.htm,2026-09-08T10:02:21.692726+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2025Q4_sec_primary_exhibit.html,462046,2d0cb6acdf4e973aaf9dc7cc71c809de298353010475180324ce2cffc2abead9,retrieved,
Sea,2026Q1,2026-05-12,0001703399,0001193125-26-219378,https://www.sec.gov/Archives/edgar/data/1703399/000119312526219378/d78490dex991.htm,2026-09-08T10:02:21.978327+00:00,01_RAW_SOURCES/quarterly_releases/SEA_2026Q1_sec_primary_exhibit.html,286911,73ab29c84b843c186b4326bf0d58ea9aaa54615a3d3f4a5f5e5ef3183bf51ff4,retrieved,
