series_id,source_sheet,source_table,source_row,indicator_id,indicator_label,unit,year,month,period,value_as_published,source_file
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2011,3,2011-03,10865.011,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2011,4,2011-04,10639.288,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2011,5,2011-05,11203.41,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2011,6,2011-06,11296.717,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2011,7,2011-07,12253.803,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2011,8,2011-08,13417.588,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2011,9,2011-09,10879.232,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2011,10,2011-10,12049.297,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2011,11,2011-11,11597.007,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2011,12,2011-12,13788.48,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,1,2012-01,13652.217,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,2,2012-02,12651.277,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,3,2012-03,13193.431,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,4,2012-04,13637.314,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,5,2012-05,15092.237000000001,SPIP-Desember-2025.xlsx
