scenario_group,scenario_id,varied_parameter,assumption_class,scenario_value,scenario_unit,grab_transaction_value_usd_b,tokopedia_transaction_value_usd_b,shopee_transaction_value_usd_b,selected_platform_transaction_value_usd_b,selected_platform_revenue_usd_b,selected_platform_gap_usd_b,selected_platform_transaction_to_revenue_ratio,selected_platform_gap_to_revenue_ratio,interpretation
grab_group_rate_multiplier,group_rate_x_0.80,Grab implied Indonesia monetization rate,assumption_scenario_not_observed_country_rate,0.8,multiplier,6.726746,16.33117,21.52,44.577916,3.162279,41.415637,14.096769,13.096769,Indonesia GTV = Indonesia revenue / (reported Group rate × 0.80).
grab_group_rate_multiplier,group_rate_x_0.90,Grab implied Indonesia monetization rate,assumption_scenario_not_observed_country_rate,0.9,multiplier,5.97933,16.33117,21.52,43.8305,3.162279,40.668221,13.860415,12.860415,Indonesia GTV = Indonesia revenue / (reported Group rate × 0.90).
grab_group_rate_multiplier,group_rate_x_1.00,Grab implied Indonesia monetization rate,assumption_scenario_not_observed_country_rate,1.0,multiplier,5.381397,16.33117,21.52,43.232567,3.162279,40.070288,13.671332,12.671332,Indonesia GTV = Indonesia revenue / (reported Group rate × 1.00).
grab_group_rate_multiplier,group_rate_x_1.10,Grab implied Indonesia monetization rate,assumption_scenario_not_observed_country_rate,1.1,multiplier,4.892179,16.33117,21.52,42.743349,3.162279,39.58107,13.516628,12.516628,Indonesia GTV = Indonesia revenue / (reported Group rate × 1.10).
grab_group_rate_multiplier,group_rate_x_1.20,Grab implied Indonesia monetization rate,assumption_scenario_not_observed_country_rate,1.2,multiplier,4.484497,16.33117,21.52,42.335667,3.162279,39.173388,13.387708,12.387708,Indonesia GTV = Indonesia revenue / (reported Group rate × 1.20).
shopee_market_share,share_35%,Shopee Indonesia e-commerce market share,assumption_scenario_not_independent_2023_source,0.35,share,5.381397,16.33117,18.83,40.542567,2.893279,37.649288,14.012671,13.012671,Indonesia GMV = reported external market total × assumed Shopee share; revenue uses Sea disclosed 10.0% rate.
shopee_market_share,share_40%,Shopee Indonesia e-commerce market share,assumption_scenario_not_independent_2023_source,0.4,share,5.381397,16.33117,21.52,43.232567,3.162279,40.070288,13.671332,12.671332,Indonesia GMV = reported external market total × assumed Shopee share; revenue uses Sea disclosed 10.0% rate.
shopee_market_share,share_45%,Shopee Indonesia e-commerce market share,assumption_scenario_not_independent_2023_source,0.45,share,5.381397,16.33117,24.21,45.922567,3.431279,42.491288,13.383513,12.383513,Indonesia GMV = reported external market total × assumed Shopee share; revenue uses Sea disclosed 10.0% rate.
shopee_monetization_rate,rate_9%,Shopee Indonesia revenue-to-GMV rate,assumption_scenario_not_observed_country_rate,0.09,share,5.381397,16.33117,21.52,43.232567,2.947079,40.285488,14.669633,13.669633,Indonesia revenue = externally estimated Indonesia GMV × assumed rate; 10.0% is Sea's disclosed Group rate.
shopee_monetization_rate,rate_10%,Shopee Indonesia revenue-to-GMV rate,assumption_scenario_not_observed_country_rate,0.1,share,5.381397,16.33117,21.52,43.232567,3.162279,40.070288,13.671332,12.671332,Indonesia revenue = externally estimated Indonesia GMV × assumed rate; 10.0% is Sea's disclosed Group rate.
shopee_monetization_rate,rate_11%,Shopee Indonesia revenue-to-GMV rate,assumption_scenario_not_observed_country_rate,0.11,share,5.381397,16.33117,21.52,43.232567,3.377479,39.855088,12.800247,11.800247,Indonesia revenue = externally estimated Indonesia GMV × assumed rate; 10.0% is Sea's disclosed Group rate.
shopee_market_size_multiplier,market_total_x_0.90,Indonesia e-commerce market GMV,assumption_scenario_around_external_market_estimate,0.9,multiplier,5.381397,16.33117,19.368,41.080567,2.947079,38.133488,13.939418,12.939418,"Indonesia market-GMV sensitivity around the external US$53.8bn estimate; share remains 40%, rate remains 10.0%."
shopee_market_size_multiplier,market_total_x_1.00,Indonesia e-commerce market GMV,assumption_scenario_around_external_market_estimate,1.0,multiplier,5.381397,16.33117,21.52,43.232567,3.162279,40.070288,13.671332,12.671332,"Indonesia market-GMV sensitivity around the external US$53.8bn estimate; share remains 40%, rate remains 10.0%."
shopee_market_size_multiplier,market_total_x_1.10,Indonesia e-commerce market GMV,assumption_scenario_around_external_market_estimate,1.1,multiplier,5.381397,16.33117,23.672,45.384567,3.377479,42.007088,13.437409,12.437409,"Indonesia market-GMV sensitivity around the external US$53.8bn estimate; share remains 40%, rate remains 10.0%."
