file,rows,columns,bytes,role
broad_archive/preserved_existing/10_MEASUREMENT_RECONCILIATION/source_extracts/external_scope_triangulation_2023.csv,5,9,1834,existing material: retain original scope/status
broad_archive/preserved_existing/10_MEASUREMENT_RECONCILIATION/source_extracts/grab_fy2023_reporting_scope_comparison.csv,4,10,1125,existing material: retain original scope/status
broad_archive/preserved_existing/10_MEASUREMENT_RECONCILIATION/source_extracts/tokopedia_fy2022_2023_revenue_components.csv,6,8,1913,existing material: retain original scope/status
broad_archive/preserved_existing/10_MEASUREMENT_RECONCILIATION/results/grab_fy2023_reporting_scope_comparison.csv,2,7,446,existing material: retain original scope/status
broad_archive/preserved_existing/10_MEASUREMENT_RECONCILIATION/results/tokopedia_fy2022_2023_revenue_incentive_reconciliation.csv,1,9,506,existing material: retain original scope/status
broad_archive/preserved_existing/10_MEASUREMENT_RECONCILIATION/results/external_scope_triangulation_results.csv,4,6,866,existing material: retain original scope/status
broad_archive/preserved_existing/07_EVENT_AND_MARKET/recomputed_from_preserved_prices/event_study_correlations_unfiltered_recomputed.csv,4,6,481,existing material: retain original scope/status
broad_archive/preserved_existing/07_EVENT_AND_MARKET/recomputed_from_preserved_prices/event_study_reproduction_status.csv,1,5,192,existing material: retain original scope/status
broad_archive/preserved_existing/07_EVENT_AND_MARKET/recomputed_from_preserved_prices/event_study_results_unfiltered_recomputed.csv,47,28,26086,existing material: retain original scope/status
broad_archive/preserved_existing/03_ANALYTIC_DATA/historical_company_panels/source_locator.csv,22,4,3568,existing material: retain original scope/status
broad_archive/preserved_existing/03_ANALYTIC_DATA/historical_company_panels/GOTO_GTV_REVENUE_Q1Q2_2022.csv,2,9,1576,existing material: retain original scope/status
broad_archive/preserved_existing/03_ANALYTIC_DATA/historical_company_panels/table5_corrected_preliminary.csv,3,11,419,existing material: retain original scope/status
broad_archive/preserved_existing/03_ANALYTIC_DATA/historical_company_panels/annual_extension_panel_preliminary.csv,13,9,1698,existing material: retain original scope/status
broad_archive/preserved_existing/01_RAW_SOURCES/extension_indonesia/EDGAR_GRAB_REVENUE_BY_GEOGRAPHY_ANNUAL_2019_2021.csv,15,8,2474,existing material: retain original scope/status
broad_archive/preserved_existing/01_RAW_SOURCES/extension_indonesia/EDGAR_SEA_SHOPEE_SEGMENT_REVENUE_ANNUAL_2016_2021.csv,6,8,1778,existing material: retain original scope/status
broad_archive/preserved_existing/01_RAW_SOURCES/extension_indonesia/EDGAR_GRAB_GMV_REVENUE_BY_SEGMENT_ANNUAL_2019_2021.csv,15,8,2385,existing material: retain original scope/status
broad_archive/preserved_existing/01_RAW_SOURCES/extension_indonesia/EDGAR_SEA_SHOPEE_GMV_QUARTERLY_2017_2021.csv,20,7,3593,existing material: retain original scope/status
