path,extension,bytes,sha256,layer,rows,columns,exact_duplicate_rows,null_cells,all_null_columns,read_status
data/longitudinal/EDGAR_SEA_SHOPEE_SEGMENT_REVENUE_ANNUAL_2016_2021.csv,.csv,1778,56655906ee84c6025251e3fd0e414f51d41e8183dd08e3cb268c0b2bee8f1fcd,longitudinal,6.0,8.0,0.0,5.0,,ok
data/longitudinal/annual_extension_panel_preliminary.csv,.csv,1698,b0cc031e54bdbf21a29919fbab70a2b64ac18a50c7d3765072f1ee50ea9265c9,longitudinal,13.0,9.0,0.0,8.0,,ok
data/longitudinal/blibli_additional_reported_pairs.csv,.csv,47274,06a7f338365478ac08762c12d47c8573074409adb931a9b0411addd65eed8fe3,longitudinal,55.0,14.0,0.0,0.0,,ok
data/longitudinal/blibli_annual_group_candidates_all_vintages.csv,.csv,5006,93ffb5f5a7f0a094942d8518364be6edcf82c6760da991e685788116f3acff44,longitudinal,6.0,17.0,0.0,0.0,,ok
data/longitudinal/blibli_prospectus_2019_2020_candidates.csv,.csv,2437,06a8bacc521cc8da7f27089ee96a960e9214890f7675bcd31c7cd84f31824cce,longitudinal,8.0,11.0,0.0,0.0,,ok
data/longitudinal/blibli_q1_2023_corrected_extract.csv,.csv,4724,d74d021b6e43b21814455077d40fa747500dc1a8c9116046d939503885f2f84e,longitudinal,15.0,15.0,0.0,0.0,,ok
data/longitudinal/blibli_reported_pairs_all_vintages.csv,.csv,71776,80f9ac6a82d642a3286b9571bda68fec2b56be83cc8f19a0a42dad86c73983b5,longitudinal,90.0,17.0,0.0,0.0,,ok
data/longitudinal/blibli_reporting_vintage_conflicts.csv,.csv,531,6fc183eff68b0be2b23e3670b2d4243689822ddc8bf22c31e9c18daf49664f56,longitudinal,8.0,6.0,0.0,0.0,,ok
data/longitudinal/bukalapak_annual_candidates.csv,.csv,1226,44960d273e680078106572f6b9aec32552bd7d953218537f8d660a0b761453a9,longitudinal,5.0,10.0,0.0,0.0,,ok
data/longitudinal/grab_country_revenue_2023_2025.csv,.csv,4719,0ef8b162df0358673f4dc87aa1686e8a72f903b19a0e9f22d10d8e075b041241,longitudinal,21.0,8.0,0.0,0.0,,ok
data/longitudinal/grab_country_revenue_coverage_2021_2024.csv,.csv,4729,6740696a2258f74d9bae4f24106a48fa6faf21b298ba7e8bb8a2b6f6d0508650,longitudinal,20.0,8.0,0.0,0.0,,ok
data/longitudinal/historical_within_platform_ratios.csv,.csv,2120,4ccea8af3c97c961ad2b6529f0b32f64f59f9ff48958a0110b5ea816f6bb3104,longitudinal,8.0,9.0,0.0,2.0,,ok
data/longitudinal/indonesia_extension_source_inputs.csv,.csv,6701,0cc0a25542ab8d974939705bdc86a8c17fbfbdfc4421b7cf62e510d2930d325e,longitudinal,24.0,11.0,0.0,0.0,,ok
data/longitudinal/indonesia_platform_year_extension.csv,.csv,3642,1961e2aa811edb542386b9f7cf6a2986aac401899f1ff56548e5b8ce0ca12e97,longitudinal,9.0,13.0,0.0,0.0,,ok
data/longitudinal/momentum_2025_country_market_estimates.csv,.csv,1467,63e8cc183195b02c27a73845b480b6b33dcfde14da0c758bb2d8bdb8fc0d69a5,longitudinal,6.0,13.0,0.0,15.0,,ok
data/longitudinal/shopee_additional_country_anchors.csv,.csv,818,3555f30e6cb851ccb87f47d499915f47539b1500dbbe2ab50ea4a5e1034271e5,longitudinal,4.0,9.0,0.0,0.0,,ok
data/market/event_study_correlations_unfiltered_recomputed.csv,.csv,481,ca0f15f9074bc9b284c49553cc14fb0b481baadf944ea0c879f8fe59144f3532,market,4.0,6.0,0.0,0.0,,ok
data/market/event_study_reproduction_status.csv,.csv,192,bc633eec315f15a65599bcb3a7c003acb0ffe1c82d815247e6ba352e1a3ebad0,market,1.0,5.0,0.0,0.0,,ok
data/market/event_study_results_unfiltered_recomputed.csv,.csv,26086,c067eed7924aee27293adf3180966586490717a961041fab22636536eb98645d,market,47.0,28.0,0.0,73.0,,ok
data/market/market_daily.csv,.csv,182287,538884a4898a931ce958739e81e2d5d4b0bbb8fc15437daaab8a3a52e5d5b068,market,4413.0,6.0,0.0,8827.0,return;market_cap_usd_m,ok
data/market/market_index_daily.csv,.csv,136154,de270bbe96ce9314674b9efb07efe8ea551af807507d876331da78b82a9c15e0,market,4149.0,4.0,0.0,4150.0,return,ok
data/market/platform_market_daily_2010_2026.csv,.csv,7217157,e8fbc6350e50329fdc37aad9c4bfe573eee73709c6904c08243da2803ee25328,market,22393.0,13.0,0.0,456.0,,ok
data/market/platform_market_events.csv,.csv,406,8d95d1cfdbbc10ee3e540a1f91adfd48d04541bcfd95a9dc9f9cf18bcfaa952b,market,4.0,4.0,0.0,0.0,,ok
data/market/raw_price_downloads/yahoo_GOTO_JK_2019_2026_chart.json,.json,52148,c27111f086e20b35d2209c56dd87dc4281ecccd56e2f95ead3923e6823e92ea5,market,,,,,,not_tabular
data/market/raw_price_downloads/yahoo_GRAB_2019_2026_chart.json,.json,157008,ba15ba49561c42eb829187e8fa85ea608964a4f68456677706a1012cfd5ad700,market,,,,,,not_tabular
data/market/raw_price_downloads/yahoo_JKSE_2019_2026_chart.json,.json,188229,90884dc24e067c65a663608b96d86de0fe24ee4e1e5d3c42494a04e5cce8a0b6,market,,,,,,not_tabular
data/market/raw_price_downloads/yahoo_NASDAQ_2019_2026_chart.json,.json,193413,1d154934be5ac464c387f7c5fa550837b1807436e9af097b214698e30c74d4bb,market,,,,,,not_tabular
