specification,province_N,covered_business_share_pct,pearson_r,pearson_p,spearman_rho,spearman_p,business_share_weighted_r,business_share_weighted_slope,business_share_weighted_intercept,interpretation,omitted_province,weighted_r
all_reported_provinces,36,99.95,0.263447723452261,0.12054963583273282,0.34259974259974263,0.04081362236845735,0.4904441773337997,0.3041811849933957,9.750288133414578,Descriptive province-level robustness only; survey microdata are required for business-level inference.,,
business_share_rse_le_10pct,31,98.36000000000001,0.22873527200883959,0.21582833421951939,0.3076612903225807,0.09223773282102614,0.5234671997955775,0.30827240849968446,9.486898943175202,Descriptive province-level robustness only; survey microdata are required for business-level inference.,,
exclude_papua_outcome_outlier,35,99.88000000000001,0.2253911900646704,0.19297385105549972,0.2915966386554622,0.08920283775596662,0.4960523122808931,0.3037783331909593,9.736158352360032,Descriptive province-level robustness only; survey microdata are required for business-level inference.,,
java_only,6,75.03999999999999,0.6921286351343025,0.12758640657782327,0.8857142857142858,0.01884548104956266,0.6543434838074774,0.38974736426214096,7.051905921606428,Descriptive province-level robustness only; survey microdata are required for business-level inference.,,
leave_one_out,35,,0.2738532240340613,0.11140701861456846,,,,,,,Aceh,0.508177200195243
leave_one_out,35,,0.2593510769242694,0.13245363003099833,,,,,,,Sumatera Utara,0.5077337349231796
leave_one_out,35,,0.2746384373054394,0.11034395720008361,,,,,,,Sumatera Barat,0.49038847444320804
leave_one_out,35,,0.26243400802797096,0.12775084230023276,,,,,,,Riau,0.5016336917148194
leave_one_out,35,,0.2620130397143813,0.12838559359212173,,,,,,,Jambi,0.49382225758436427
leave_one_out,35,,0.2674891465961588,0.12030929658552794,,,,,,,Sumatera Selatan,0.49055679757661236
leave_one_out,35,,0.26128772695424174,0.12948472547489068,,,,,,,Bengkulu,0.49280372322586047
leave_one_out,35,,0.262121378869002,0.12822201295167446,,,,,,,Lampung,0.4932677206018377
leave_one_out,35,,0.24018492922369034,0.16459272146851706,,,,,,,Kep. Bangka Belitung,0.4889126197003429
leave_one_out,35,,0.2508132051659918,0.14614351792231767,,,,,,,Kepulauan Riau,0.5136916777292393
leave_one_out,35,,0.308671193002029,0.0712083345299668,,,,,,,DKI Jakarta,0.4569634161519599
leave_one_out,35,,0.26670848142305165,0.12143685556984514,,,,,,,Jawa Barat,0.4972319238359395
leave_one_out,35,,0.2748921306571984,0.11000213272016372,,,,,,,Jawa Tengah,0.4911828770405517
leave_one_out,35,,0.2812909588337137,0.10164173605729868,,,,,,,D.I. Yogyakarta,0.49491876156327363
leave_one_out,35,,0.26725927689307444,0.12064049537965184,,,,,,,Jawa Timur,0.4939948500937003
leave_one_out,35,,0.23659368349351456,0.1711891185325324,,,,,,,Banten,0.45777767125307456
leave_one_out,35,,0.2596591289411601,0.13197805114422959,,,,,,,Bali,0.4844526844288443
leave_one_out,35,,0.25544559877789275,0.1385931965778896,,,,,,,Nusa Tenggara Barat,0.48519340619130863
leave_one_out,35,,0.26264179675858357,0.127438390200822,,,,,,,Nusa Tenggara Timur,0.4950929351070909
leave_one_out,35,,0.26307049776991903,0.12679554399106685,,,,,,,Kalimantan Barat,0.49245975575302003
leave_one_out,35,,0.2605926795595949,0.13054451654400126,,,,,,,Kalimantan Tengah,0.49303916238511786
leave_one_out,35,,0.26689239837683426,0.12117050696030443,,,,,,,Kalimantan Selatan,0.4911875784160045
leave_one_out,35,,0.263361000936497,0.12636129854704234,,,,,,,Kalimantan Timur,0.4937096838949679
leave_one_out,35,,0.25861108757784274,0.13360121537990777,,,,,,,Kalimantan Utara,0.49108938632749055
leave_one_out,35,,0.2594360514817424,0.13232231782825257,,,,,,,Sulawesi Utara,0.49850300498889205
leave_one_out,35,,0.27277068096729,0.11288523315177569,,,,,,,Sulawesi Tengah,0.5031266948513055
leave_one_out,35,,0.2627595016482048,0.12726164896183084,,,,,,,Sulawesi Selatan,0.4818268484210369
leave_one_out,35,,0.2567480077022492,0.13652296637524883,,,,,,,Sulawesi Tenggara,0.4908319005043237
leave_one_out,35,,0.26816770298012393,0.11933558436950883,,,,,,,Gorontalo,0.49006016130459507
leave_one_out,35,,0.24249634229651826,0.16044486862242388,,,,,,,Sulawesi Barat,0.4896274548893272
leave_one_out,35,,0.2605877360908278,0.13055207713399905,,,,,,,Maluku,0.4917537326388264
leave_one_out,35,,0.2696739996092289,0.11719514419057862,,,,,,,Maluku Utara,0.49204144970724556
leave_one_out,35,,0.27296525227687585,0.1126184649292987,,,,,,,Papua Barat,0.4912670660549605
leave_one_out,35,,0.32855497204232026,0.05397414652642253,,,,,,,Papua Barat Daya,0.49420780906994555
leave_one_out,35,,0.2253911900646704,0.19297385105549972,,,,,,,Papua,0.4960523122808931
leave_one_out,35,,0.24849131824797246,0.15003893281407513,,,,,,,Papua Selatan,0.49051825583612285
