province,financial_reports_have_pct,financial_reports_not_have_pct,website_sales_media_pct,email_sales_media_pct,instant_messaging_sales_media_pct,social_media_sales_media_pct,marketplace_sales_media_pct,estimated_ecommerce_businesses,ecommerce_business_count_rse_pct,year,source_status,source_locator,definition_note
Gorontalo,4.01,95.99,0.38,,92.16,72.61,12.14,6870,5.78,2023,direct_official_statistical_table,Appendix 6 p.62 and Appendix 14 p.74,Email value displayed as dash; sales-media question allows multiple answers.
Sulawesi Barat,11.58,88.42,0.9,1.49,98.53,58.36,4.66,8397,4.97,2023,direct_official_statistical_table,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.
Maluku,24.41,75.59,2.66,6.58,91.32,53.78,14.9,3435,9.37,2023,direct_official_statistical_table,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.
Maluku Utara,23.58,76.42,1.09,1.74,86.35,70.28,11.7,3053,17.25,2023,direct_official_statistical_table,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.
Papua Barat,17.79,82.21,0.0,2.03,93.79,72.83,1.27,1527,15.38,2023,direct_official_statistical_table,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.
Papua Barat Daya,38.26,61.74,2.93,2.86,92.58,69.76,10.04,1527,7.67,2023,direct_official_statistical_table,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.
Papua,45.96,54.04,1.72,3.54,88.93,55.93,19.11,2672,11.29,2023,direct_official_statistical_table,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.
Papua Selatan,13.46,86.54,1.39,0.1,96.42,57.28,3.49,1527,9.15,2023,direct_official_statistical_table,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.
Papua Tengah,,,,,,,,1145,40.16,2023,withheld_high_rse,Appendix 6 p.62 and Appendix 14 p.74,BPS displays NA because RSE exceeds 25%.
Papua Pegunungan,,,,,,,,763,66.87,2023,withheld_high_rse,Appendix 6 p.62 and Appendix 14 p.74,BPS displays NA because RSE exceeds 25%.
