period,scope,tpv,revenue,gpbd,source_id
2024Q4,1P Retail,1429.0,1122.0,311.0,blibli_fy2024_linked_0
2024Q4,1P Retail,1423.0,1122.0,311.0,blibli_fy2025_linked_0
2024Q4,3P Retail,14625.0,424.0,725.0,blibli_fy2024_linked_0
2024Q4,3P Retail,14630.0,424.0,725.0,blibli_fy2025_linked_0
2024Q4,Institutions,3440.0,1635.0,201.0,blibli_fy2024_linked_0
2024Q4,Institutions,3341.0,1635.0,201.0,blibli_fy2025_linked_0
2024Q4,Group,21144.0,4584.0,1605.0,blibli_fy2024_linked_0
2024Q4,Group,21044.0,4584.0,1605.0,blibli_fy2025_linked_0
