platform,period,frequency,scope,unit,source_id,source_url,source_file,source_page,status,indonesia_country_pair_confirmed,tpv,tpv_source_line,revenue,revenue_source_line,gpbd,gpbd_source_line
Blibli/GDN,2022FY,annual,1P Retail,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,9940.0,"-    1P Retail                                                 2,631                 2,612               1               9,940                7,515               32",8902.0,"-    1P Retail                                                  2,336                2,329              0                8,902                 6,741              32",366.0,-    1P Retail                                                  100                   133              (25)               366                   382               (4)
Blibli/GDN,2022FY,annual,3P Retail,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,37050.0,"-    3P Retail                                                12,776                 5,772             121              37,050               15,746              135",199.0,"-    3P Retail                                                     41                   (0)        14,190                  199                   122              63",1314.0,"-    3P Retail                                                  407                   230                77             1,314                   622              111"
Blibli/GDN,2022FY,annual,Institutions,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,10433.0,"-    Institutions                                              4,338                 3,313              31              10,433                8,154               28",2615.0,"-    Institutions                                               1,430                  405            253                2,615                 1,102             137",130.0,-    Institutions                                                 58                    16             261                130                     42             210
Blibli/GDN,2022FY,annual,Physical Stores,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,3973.0,"-    Physical Stores                                           1,055                   898              17               3,973                  988              302",3553.0,"-    Physical Stores                                              939                  814             15                3,553                   892             298",772.0,-    Physical Stores                                            204                   180                14               772                   193              300
Blibli/GDN,2022FY,annual,Group,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,61396.0,"Total TPV                                                     20,800                12,595              65              61,396               32,403               89",15269.0,"Total Net Revenue                                                4,746                3,548             34               15,269                 8,858              72",2582.0,"Total GPBD                                                       769                   560                37             2,582                 1,239              108"
Blibli/GDN,2021FY,annual,1P Retail,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,7515.0,"-    1P Retail                                                 2,631                 2,612               1               9,940                7,515               32",6741.0,"-    1P Retail                                                  2,336                2,329              0                8,902                 6,741              32",382.0,-    1P Retail                                                  100                   133              (25)               366                   382               (4)
Blibli/GDN,2021FY,annual,3P Retail,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,15746.0,"-    3P Retail                                                12,776                 5,772             121              37,050               15,746              135",122.0,"-    3P Retail                                                     41                   (0)        14,190                  199                   122              63",622.0,"-    3P Retail                                                  407                   230                77             1,314                   622              111"
Blibli/GDN,2021FY,annual,Institutions,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,8154.0,"-    Institutions                                              4,338                 3,313              31              10,433                8,154               28",1102.0,"-    Institutions                                               1,430                  405            253                2,615                 1,102             137",42.0,-    Institutions                                                 58                    16             261                130                     42             210
Blibli/GDN,2021FY,annual,Physical Stores,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,988.0,"-    Physical Stores                                           1,055                   898              17               3,973                  988              302",892.0,"-    Physical Stores                                              939                  814             15                3,553                   892             298",193.0,-    Physical Stores                                            204                   180                14               772                   193              300
Blibli/GDN,2021FY,annual,Group,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,32403.0,"Total TPV                                                     20,800                12,595              65              61,396               32,403               89",8858.0,"Total Net Revenue                                                4,746                3,548             34               15,269                 8,858              72",1239.0,"Total GPBD                                                       769                   560                37             2,582                 1,239              108"
Blibli/GDN,2024Q4,quarter,1P Retail,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,1429.0,"-​ 1P Retail                                        1,429                   1,142               25               5,301                  7,385               (28)",1122.0,"-​ 1P Retail                                        1,122                     956               17                4,269                 6,386               (33)",311.0,-​ 1P Retail                                           311                     109            185                   859                   517                66
Blibli/GDN,2024Q4,quarter,3P Retail,IDR billion,blibli_fy2024_linked_0,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,raw_sources/blibli_fy2024_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,14625.0,"-​ 3P Retail                                       14,625                  11,965               22              54,210                 49,912                  9",424.0,"-​ 3P Retail                                          424                     279               52                1,384                 1,125                 23",725.0,"-​ 3P Retail                                           725                     543             34                 2,499                 1,978                26"
