firm,period,scope,transaction_value_usd_m,platform_revenue_usd_m,transaction_to_revenue_ratio,gap_to_revenue_ratio,status,note
Grab,FY2019,Mobility plus Deliveries segments,8662.0,-629.0,,,direct_company_historical_extract,Negative 2019 segment revenue makes a ratio non-interpretable; it is retained as a source observation rather than converted into a ratio.
Grab,FY2020,Mobility plus Deliveries segments,8700.0,443.0,19.638826,18.638826,direct_company_historical_extract,Negative 2019 segment revenue makes a ratio non-interpretable; it is retained as a source observation rather than converted into a ratio.
Grab,FY2021,Mobility plus Deliveries segments,11317.0,604.0,18.736755,17.736755,direct_company_historical_extract,Negative 2019 segment revenue makes a ratio non-interpretable; it is retained as a source observation rather than converted into a ratio.
Sea / Shopee,FY2017,Shopee GMV / e-commerce segment revenue,4112.9,9.034,455.268984,454.268984,direct_company_historical_extract,GMV is summed from four directly extracted quarterly observations; revenue is the annual e-commerce segment disclosure.
Sea / Shopee,FY2018,Shopee GMV / e-commerce segment revenue,10279.3,269.578,38.131079,37.131079,direct_company_historical_extract,GMV is summed from four directly extracted quarterly observations; revenue is the annual e-commerce segment disclosure.
Sea / Shopee,FY2019,Shopee GMV / e-commerce segment revenue,17576.2,834.295,21.067129,20.067129,direct_company_historical_extract,GMV is summed from four directly extracted quarterly observations; revenue is the annual e-commerce segment disclosure.
Sea / Shopee,FY2020,Shopee GMV / e-commerce segment revenue,35400.0,2167.149,16.334825,15.334825,direct_company_historical_extract,GMV is summed from four directly extracted quarterly observations; revenue is the annual e-commerce segment disclosure.
Sea / Shopee,FY2021,Shopee GMV / e-commerce segment revenue,62600.0,5122.959,12.2195,11.2195,direct_company_historical_extract,GMV is summed from four directly extracted quarterly observations; revenue is the annual e-commerce segment disclosure.
