issuer,segment,region,first_year,last_year,matched_years,first_take_rate_pct,last_take_rate_pct,minimum_take_rate_pct,maximum_take_rate_pct,take_rate_change_pp,annual_transitions,clean_scope_transitions,opposite_direction_transitions,interpretation
Etsy,Consolidated marketplaces,Global,2019,2025,7,16.450014311718885,24.196737406540294,16.450014311718885,24.196737406540294,7.746723094821409,6,3,4,within-issuer descriptive trajectory; take-rate levels are not pooled across business models
Jumia,E-commerce group,Africa,2021,2025,5,17.962245103977388,23.07598338626924,17.962245103977388,24.8602293945052,5.113738282291852,4,3,0,within-issuer descriptive trajectory; take-rate levels are not pooled across business models
Mercado Libre,Commerce,Latin America,2021,2025,5,16.320422535211268,25.053431123821824,16.320422535211268,25.053431123821824,8.733008588610556,4,2,0,within-issuer descriptive trajectory; take-rate levels are not pooled across business models
Rakuten,Domestic EC,Japan,2023,2025,3,15.027410512737827,16.12293144208038,15.027410512737827,16.12293144208038,1.0955209293425519,2,1,1,within-issuer descriptive trajectory; take-rate levels are not pooled across business models
Sea / Shopee,E-commerce,Southeast Asia and other markets,2017,2025,9,0.21965036835323012,13.029827315541601,0.21965036835323012,13.029827315541601,12.81017694718837,8,7,0,within-issuer descriptive trajectory; take-rate levels are not pooled across business models
Shopify,Commerce platform,Global,2019,2025,7,2.5826513911620292,3.053580346738329,2.4494147157190636,3.053580346738329,0.47092895557629966,6,5,0,within-issuer descriptive trajectory; take-rate levels are not pooled across business models
Zalando,Group,Europe,2020,2025,6,74.62602842183993,70.30728579401145,69.0503092487248,74.62602842183993,-4.318742627828485,5,4,1,within-issuer descriptive trajectory; take-rate levels are not pooled across business models
eBay,Marketplace,Global,2020,2025,6,10.271,13.944723618090451,10.271,13.944723618090451,3.6737236180904507,5,4,2,within-issuer descriptive trajectory; take-rate levels are not pooled across business models
